61, 26, 0, 
61, 38, 0, 
61, 56, 0, 
61, 67, 4, 
61, 78, 0, 
62, 0, 0, 
62, 1, 0, 
62, 2, 0, 
62, 3, 0, 
62, 7, 1, 
62, 8, 0, 
62, 78, 0, 
63, 0, 0, 
63, 4, 0, 
63, 7, 4, 
63, 12, 0, 
63, 14, 0, 
63, 16, 0, 
63, 18, 0, 
63, 20, 0, 
63, 28, 0, 
63, 29, 0, 
63, 30, 0, 
63, 31, 0, 
63, 32, 0, 
63, 34, 0, 
63, 35, 0, 
63, 36, 0, 
63, 37, 0, 
63, 38, 0, 
63, 48, 0, 
63, 50, 0, 
63, 52, 0, 
63, 54, 0, 
63, 56, 0, 
63, 58, 0, 
63, 59, 0, 
63, 60, 0, 
63, 61, 0, 
63, 62, 0, 
63, 68, 17, 
63, 69, 0, 
63, 70, 0, 
63, 71, 0, 
63, 72, 0, 
63, 78, 0, 
64, 0, 0, 
64, 4, 0, 
64, 7, 3, 
64, 14, 0, 
64, 16, 0, 
64, 18, 0, 
64, 20, 0, 
64, 29, 0, 
64, 30, 0, 
64, 31, 0, 
64, 32, 0, 
64, 35, 0, 
64, 36, 0, 
64, 37, 0, 
64, 38, 0, 
64, 50, 0, 
64, 52, 0, 
64, 54, 0, 
64, 56, 0, 
64, 59, 0, 
64, 60, 0, 
64, 61, 0, 
64, 62, 0, 
64, 69, 8, 
64, 70, 0, 
64, 71, 0, 
64, 72, 0, 
64, 78, 0, 
65, 0, 0, 
65, 4, 0, 
65, 7, 1, 
65, 16, 0, 
65, 18, 0, 
65, 20, 0, 
65, 30, 0, 
65, 31, 0, 
65, 32, 0, 
65, 36, 0, 
65, 37, 0, 
65, 38, 0, 
65, 52, 0, 
65, 54, 0, 
65, 56, 0, 
65, 60, 0, 
65, 61, 0, 
65, 62, 0, 
65, 70, 4, 
65, 71, 0, 
65, 72, 0, 
65, 78, 0, 
66, 0, 0, 
66, 4, 0, 
66, 7, 2, 
66, 18, 0, 
66, 20, 0, 
66, 31, 0, 
66, 32, 0, 
66, 37, 0, 
66, 38, 0, 
66, 54, 0, 
66, 56, 0, 
66, 61, 0, 
66, 62, 0, 
66, 71, 2, 
66, 72, 0, 
66, 78, 0, 
67, 0, 0, 
67, 4, 0, 
67, 7, 3, 
67, 20, 0, 
67, 32, 0, 
67, 38, 0, 
67, 56, 0, 
67, 62, 0, 
67, 72, 0, 
67, 78, 1, 
68, 0, 0, 
68, 4, 0, 
68, 5, 1, 
68, 6, 0, 
68, 7, 0, 
68, 13, 0, 
68, 15, 0, 
68, 17, 0, 
68, 19, 0, 
68, 22, 0, 
68, 23, 0, 
68, 24, 0, 
68, 25, 0, 
68, 26, 0, 
68, 64, 0, 
68, 65, 0, 
68, 66, 0, 
68, 67, 0, 
68, 73, 16, 
68, 74, 0, 
68, 75, 0, 
68, 76, 0, 
68, 77, 0, 
68, 78, 0, 
69, 0, 0, 
69, 4, 0, 
69, 5, 3, 
69, 6, 0, 
69, 7, 0, 
69, 15, 0, 
69, 17, 0, 
69, 19, 0, 
69, 23, 0, 
69, 24, 0, 
69, 25, 0, 
69, 26, 0, 
69, 65, 0, 
69, 66, 0, 
69, 67, 0, 
69, 74, 5, 
69, 75, 0, 
69, 76, 0, 
